Title                                                                                                                          - Score - Year - Num Eps      - Duration           - Genre(s)                                                                                   - Link

Genocyber                                                                                                                      - 5.79  - 1994 - 5 episodes   - 30 min per ep      - Action, Gore, Horror, Mecha, Psychological, Sci-Fi, Suspense                               - https://myanimelist.net/anime/2775
Getsuyoubi no Tawawa 2 Special                                                                                                 - 6.67  - 2021 - 1 episode    - 7 min              - Ecchi, Slice of Life                                                                       - https://myanimelist.net/anime/49866
Ginga Eiyuu Densetsu Gaiden (1999)                                                                                             - 8.05  - 1999 - 28 episodes  - 26 min per ep      - Action, Adult Cast, Drama, Military, Sci-Fi, Space                                         - https://myanimelist.net/anime/3665
Ginga Tansa 2100-nen: Border Planet                                                                                            - 6.26  - 1986 - 1 episode    - 1 hr 12 min        - Adventure, Mystery, Romance, Sci-Fi                                                        - https://myanimelist.net/anime/4917
Ginga Tetsudou 999: Jikuu wo Koeta Energy no Tabi                                                                              - 6.09  - 2010 - 5 episodes   - 4 min per ep       - Adventure, Drama, Sci-Fi                                                                   - https://myanimelist.net/anime/10118
Gintama Movie 1: Shinyaku Benizakura-hen                                                                                       - 8.52  - 2010 - 1 episode    - 1 hr 35 min        - Action, Comedy, Historical, Parody, Samurai, Sci-Fi, Shounen                               - https://myanimelist.net/anime/7472
Gintama: Nanigoto mo Saisho ga Kanjin nanode Tashou Senobisuru Kurai ga Choudoyoi                                              - 8.08  - 2005 - 1 episode    - 32 min             - Action, Comedy, Historical, Mecha, Parody, Samurai, Sci-Fi, Shounen                        - https://myanimelist.net/anime/2951
Girls & Panzer: Saishuushou Part 3 Specials                                                                                    - 7.21  - 2021 - 2 episodes   - 10 min per ep      - Comedy, Military, School                                                                   - https://myanimelist.net/anime/49690
Girls Rush The Animation                                                                                                       - 7.02  - 2021 - 2 episodes   - 15 min per ep      - Hentai                                                                                     - https://myanimelist.net/anime/49945
Glass no Kantai: La Legende du Vent de l'Univers Specials                                                                      - 6.11  - 2007 - 2 episodes   - 24 min per ep      - Adventure, Sci-Fi                                                                          - https://myanimelist.net/anime/5652
Go to the Top                                                                                                                  - 5.95  - 2012 - 1 episode    - 4 min              - Mecha, Music                                                                               - https://myanimelist.net/anime/53216
God Eater Reso Nantoka Gekijou: Nagerareta Shokupan                                                                            - 5.71  - 2018 - 1 episode    - 7 min              - Fantasy, Military, Parody, Sci-Fi                                                          - https://myanimelist.net/anime/37663
God Eater Resonant Ops                                                                                                         - 6.09  - 2018 - 1 episode    - 1 min              - Fantasy, Military, Music, Sci-Fi, Video Game                                               - https://myanimelist.net/anime/38444
Gokujo.: Gokurakuin Joshikou Ryou Monogatari                                                                                   - 6.15  - 2012 - 12 episodes  - 6 min per ep       - Comedy, Ecchi, Girls Love, School, Seinen                                                  - https://myanimelist.net/anime/11769
Gokukoku no Brynhildr: Kara Sawagi                                                                                             - 6.59  - 2014 - 1 episode    - 20 min             - Comedy, Ecchi, Harem, Sci-Fi, Seinen                                                       - https://myanimelist.net/anime/24695
Gon de Hanta 2nd Season Special                                                                                                - None  - 2018 - 1 episode    - 1 min              - Anthropomorphic, Comedy, Music                                                             - https://myanimelist.net/anime/55120
Gon de Hanta                                                                                                                   - None  - 2017 - 20 episodes  - 1 min per ep       - Comedy                                                                                     - https://myanimelist.net/anime/47436
Goyang-i Ibsog-eulo Ttwieodeulda                                                                                               - None  - 2010 - 1 episode    - 23 min             - Drama, Fantasy                                                                             - https://myanimelist.net/anime/51006
Grancrest Senki: Tsuisou                                                                                                       - 6.56  - 2018 - 1 episode    - 23 min             - Action, Fantasy                                                                            - https://myanimelist.net/anime/37505
Grappler Baki: Saidai Tournament-hen                                                                                           - 7.49  - 2001 - 24 episodes  - 24 min per ep      - Combat Sports, Gore, Shounen, Sports                                                       - https://myanimelist.net/anime/551
Green Dakara x Bakemono no Ko                                                                                                  - 5.38  - 2015 - 2 episodes   - 15 sec per ep      - Music                                                                                      - https://myanimelist.net/anime/31108
Gridman Universe                                                                                                               - 7.34  - 2023 - 1 episode    - 1 hr 58 min        - Action, Mecha, Sci-Fi                                                                      - https://myanimelist.net/anime/50587
Gugure! Kokkuri-san Specials                                                                                                   - 7.22  - 2014 - 11 episodes  - 3 min per ep       - Comedy, Romance, Shounen, Supernatural                                                     - https://myanimelist.net/anime/27945
Gunslinger Girl: Il Teatrino OVA                                                                                               - 6.97  - 2008 - 2 episodes   - 23 min per ep      - Action, Drama, Military, Sci-Fi                                                            - https://myanimelist.net/anime/4765
Hado Old Man                                                                                                                   - None  - 2013 - 1 episode    - 4 min              - Music                                                                                      - https://myanimelist.net/anime/54551
Haguregumo                                                                                                                     - 6.02  - 1982 - 1 episode    - 1 hr 31 min        - Comedy, Historical, Samurai, Seinen                                                        - https://myanimelist.net/anime/8500
Hajimari no Senaka                                                                                                             - None  - 2021 - 1 episode    - 4 min              - Music                                                                                      - https://myanimelist.net/anime/49899
Hajimete no Christmas                                                                                                          - None  - 1983 - 1 episode    - 25 min             - Kids                                                                                       - https://myanimelist.net/anime/10246
Hakkoutai Solar Cycle                                                                                                          - 6.24  - 2022 - 1 episode    - 5 min              - Music                                                                                      - https://myanimelist.net/anime/51375
