Title                                                                                                - Score - Year - Num Eps            - Duration             - Genre(s)                                                                          - Link
Flanders no Inu                                                                                      - 7.46  - 1975 - 52 episode(s)      - 26 min. per ep.      - Drama, Historical, Slice of Life                                                  - https://myanimelist.net/anime/2553
Fortissimo Bell                                                                                      - 5.32  - 2017 - 1 episode(s)       - 2 min.               - Music                                                                             - https://myanimelist.net/anime/36595
Fruits Basket                                                                                        - 7.78  - 2001 - 26 episode(s)      - 24 min. per ep.      - Slice of Life, Comedy, Drama, Romance, Fantasy, Shoujo                            - https://myanimelist.net/anime/120
Futari wa Precure: Splash☆Star                                                                       - 7.23  - 2006 - 49 episode(s)      - 24 min. per ep.      - Action, Comedy, Fantasy, Magic, Shoujo                                            - https://myanimelist.net/anime/1534
Future GPX Cyber Formula Graffiti                                                                    - 6.23  - 1992 - 1 episode(s)       - 30 min.              - Action, Sci-Fi, Sports                                                            - https://myanimelist.net/anime/9759
Gan to Gon                                                                                           - 5.79  - 1974 - 260 episode(s)     - 5 min. per ep.       - Comedy, Kids                                                                      - https://myanimelist.net/anime/23347
Ganbare! Kickers: Hitoribocchi no Ace Striker                                                        - 6.29  - 1988 - 1 episode(s)       - 23 min.              - Sports, Drama, Shounen                                                            - https://myanimelist.net/anime/33498
Gatchaman Crowds Insight                                                                             - 7.40  - 2015 - 12 episode(s)      - 23 min. per ep.      - Adventure, Sci-Fi                                                                 - https://myanimelist.net/anime/21039
Generation of Chaos                                                                                  - 3.69  - 2001 - 1 episode(s)       - 30 min.              - Action, Adventure, Demons, Fantasy, Magic                                         - https://myanimelist.net/anime/2776
Geneshaft                                                                                            - 6.45  - 2001 - 13 episode(s)      - 23 min. per ep.      - Adventure, Mecha, Sci-Fi, Space                                                   - https://myanimelist.net/anime/909
Get Ride! AMDriver                                                                                   - 6.48  - 2004 - 51 episode(s)      - 24 min. per ep.      - Adventure, Mecha, Sci-Fi, Shounen                                                 - https://myanimelist.net/anime/1574
GetBackers                                                                                           - 7.70  - 2002 - 49 episode(s)      - 24 min. per ep.      - Action, Comedy, Drama, Mystery, Shounen, Super Power, Supernatural                - https://myanimelist.net/anime/132
Ghost in the Shell: Arise - Alternative Architecture                                                 - 7.33  - 2015 - 10 episode(s)      - 24 min. per ep.      - Mecha, Police, Psychological, Sci-Fi                                              - https://myanimelist.net/anime/29325
Giant Gorg                                                                                           - 7.69  - 1984 - 26 episode(s)      - 25 min. per ep.      - Action, Adventure, Mecha, Sci-Fi                                                  - https://myanimelist.net/anime/3327
Gibo                                                                                                 - 6.10  - 2001 - 2 episode(s)       - 30 min. per ep.      - Drama, Hentai, Romance                                                            - https://myanimelist.net/anime/1406
Ginga Shippuu Sasuraiger                                                                             - 6.53  - 1983 - 43 episode(s)      - 25 min. per ep.      - Action, Adventure, Mecha                                                          - https://myanimelist.net/anime/4244
Ginga Tetsudou 999: Shounen no Tabidachi to Wakare                                                   - 5.70  - 1982 - 1 episode(s)       - 25 min.              - Adventure, Space, Drama, Sci-Fi                                                   - https://myanimelist.net/anime/29716
Ginga Tetsudou Monogatari: Eien e no Bunkiten                                                        - 7.04  - 2006 - 24 episode(s)      - 24 min. per ep.      - Action, Adventure, Space, Drama, Sci-Fi                                           - https://myanimelist.net/anime/2717
Girls Bravo: First Season                                                                            - 6.62  - 2004 - 11 episode(s)      - 23 min. per ep.      - Comedy, Ecchi, Fantasy, Harem, Romance, School                                    - https://myanimelist.net/anime/241
God Mazinger                                                                                         - 6.74  - 1984 - 23 episode(s)      - 29 min. per ep.      - Action, Fantasy, Mecha                                                            - https://myanimelist.net/anime/5250
Gondora                                                                                              - 4.02  - 1997 - 1 episode(s)       - 1 min.               - Dementia                                                                          - https://myanimelist.net/anime/23877
Gosenzo-sama Banbanzai!                                                                              - 7.37  - 1989 - 6 episode(s)       - 30 min. per ep.      - Sci-Fi, Comedy, Psychological, Drama                                              - https://myanimelist.net/anime/4639
Goshuushou-sama Ninomiya-kun                                                                         - 6.84  - 2007 - 12 episode(s)      - 24 min. per ep.      - Harem, Comedy, Ecchi, Fantasy                                                     - https://myanimelist.net/anime/2494
Grisaia no Kajitsu                                                                                   - 7.67  - 2014 - 13 episode(s)      - 23 min. per ep.      - Drama, Harem, Psychological, Romance, School                                      - https://myanimelist.net/anime/17729
Guin Saga                                                                                            - 7.25  - 2009 - 26 episode(s)      - 24 min. per ep.      - Adventure, Fantasy                                                                - https://myanimelist.net/anime/5041
Gutchonpa Omoshiro Hanashi                                                                           - 5.00  - 1987 - 5 episode(s)       - 8 min. per ep.       - Kids                                                                              - https://myanimelist.net/anime/26089
Hachiko↑Dance                                                                                        - 5.00  - 2017 - 1 episode(s)       - 1 min.               - Music                                                                             - https://myanimelist.net/anime/36159
Hadakya no Otonosama                                                                                 - 3.37  - 2014 - 2 episode(s)       - 37 sec. per ep.      - Kids, Slice of Life                                                               - https://myanimelist.net/anime/18353
Haja Kyosei G Dangaiou                                                                               - 5.43  - 2001 - 13 episode(s)      - 23 min. per ep.      - Action, Mecha, Sci-Fi                                                             - https://myanimelist.net/anime/2521
Hajime Ningen Gyatoruz                                                                               - 6.45  - 1974 - 77 episode(s)      - 24 min. per ep.      - Comedy, Historical                                                                - https://myanimelist.net/anime/8763
Hakuouki: Otogisoushi                                                                                - 6.69  - 2016 - 12 episode(s)      - 3 min. per ep.       - Fantasy, Historical, Josei, Samurai                                               - https://myanimelist.net/anime/32011
Hanasakeru Seishounen                                                                                - 7.87  - 2009 - 39 episode(s)      - 24 min. per ep.      - Drama, Romance, Shoujo                                                            - https://myanimelist.net/anime/5835
Haou Taikei Ryuu Knight                                                                              - 6.66  - 1994 - 52 episode(s)      - 25 min. per ep.      - Action, Adventure, Fantasy, Mecha                                                 - https://myanimelist.net/anime/1848
Happy Party Train                                                                                    - 7.72  - 2017 - 1 episode(s)       - 8 min.               - Music                                                                             - https://myanimelist.net/anime/35006
Hataraku Onii-san!                                                                                   - 5.75  - 2018 - 13 episode(s)      - 4 min. per ep.       - Comedy, Slice of Life                                                             - https://myanimelist.net/anime/36784
