Title                                                                                             - Score - Year - Num Eps            - Duration              - Genre(s)                                                                          - Link
Magic Kaito                                                                                       - 7.99  - 2010 - 12 episode(s)      - 23 min. per ep.       - Adventure, Comedy, Romance, Shounen                                               - https://myanimelist.net/anime/8310
Magic Knight Rayearth                                                                             - 7.52  - 1994 - 20 episode(s)      - 24 min. per ep.       - Adventure, Comedy, Drama, Fantasy, Magic, Mecha, Romance, Shoujo                  - https://myanimelist.net/anime/435
Magical Maho                                                                                      - 4.55  - 1997 - 1 episode(s)       - 22 min.               - Kids, Magic, Music                                                                - https://myanimelist.net/anime/35617
Mahoromatic: I&#039;m Home!                                                                       - 7.15  - 2009 - 2 episode(s)       - 24 min. per ep.       - Ecchi, Comedy, Romance, Sci-Fi                                                    - https://myanimelist.net/anime/7066
Mahou Sensei Negima! Mou Hitotsu no Sekai Extra: Mahou Shoujo Yue                                 - 7.41  - 2010 - 1 episode(s)       - 31 min.               - Action, Adventure, Ecchi, Fantasy, Magic, School, Shounen                         - https://myanimelist.net/anime/10628
Mahou Sensei Negima! Mou Hitotsu no Sekai                                                         - 7.79  - 2009 - 4 episode(s)       - 29 min. per ep.       - Action, Adventure, Ecchi, Magic, Shounen, Supernatural                            - https://myanimelist.net/anime/6050
Mahou Sensei Negima! Tokubetsu Eizou                                                              - 6.44  - 2016 - 3 episode(s)       - 4 min. per ep.        - Music                                                                             - https://myanimelist.net/anime/34450
Mahouka Koukou no Rettousei Movie: Hoshi wo Yobu Shoujo                                           - 7.60  - 2017 - 1 episode(s)       - 1 hr. 30 min.         - Action, Magic, Supernatural, Sci-Fi                                               - https://myanimelist.net/anime/32900
Major: Message                                                                                    - 8.34  - 2010 - 1 episode(s)       - 24 min.               - Comedy, Drama, Sports                                                             - https://myanimelist.net/anime/9890
Mamotte Shugogetten!                                                                              - 6.76  - 1998 - 22 episode(s)      - 24 min. per ep.       - Comedy, Fantasy, Magic, Romance, Shounen                                          - https://myanimelist.net/anime/626
Minerva no Kenshi                                                                                 - 6.24  - 1994 - 5 episode(s)       - 45 min. per ep.       - Fantasy, Hentai                                                                   - https://myanimelist.net/anime/3074
Mobile Suit Gundam-san (ONA)                                                                      - 6.20  - 2014 - 15 episode(s)      - 2 min. per ep.        - Comedy, Parody, Mecha                                                             - https://myanimelist.net/anime/33225
Monster Farm: Enbanseki no Himitsu                                                                - 6.89  - 1999 - 48 episode(s)      - 24 min. per ep.       - Action, Adventure, Comedy, Fantasy                                                - https://myanimelist.net/anime/1469
My Home                                                                                           - 5.38  - 2009 - 1 episode(s)       - 5 min.                - Slice of Life                                                                     - https://myanimelist.net/anime/33537
Nakano Harada Kekkon Kyousoukyoku                                                                 - 3.61  - 2014 - 1 episode(s)       - 3 min.                - Music                                                                             - https://myanimelist.net/anime/36673
Namahousou Anime Chokkan × Algorhythm                                                             - N/A   - 2017 - 8 episode(s)       - 30 sec. per ep.       - Comedy, Music                                                                     - https://myanimelist.net/anime/37167
Nanaka 6/17 Special                                                                               - 6.74  - 2003 - 1 episode(s)       - 25 min.               - Comedy, Drama, Romance, Shounen, Slice of Life                                    - https://myanimelist.net/anime/5865
Nanami-chan 2nd Series                                                                            - 6.55  - 2005 - 16 episode(s)      - 5 min. per ep.        - Comedy, Kids                                                                      - https://myanimelist.net/anime/4314
Nanatsu no Taizai OVA                                                                             - 7.77  - 2015 - 2 episode(s)       - 24 min. per ep.       - Action, Adventure, Supernatural, Magic, Fantasy, Shounen                          - https://myanimelist.net/anime/30347
Nar Doma                                                                                          - 5.59  - 2015 - 26 episode(s)      - 2 min. per ep.        - Comedy                                                                            - https://myanimelist.net/anime/29715
Neko no Dayan: Nihon e Iku                                                                        - 6.53  - 2015 - 12 episode(s)      - Unknown               - Kids                                                                              - https://myanimelist.net/anime/31562
Netorare Zuma                                                                                     - 6.32  - 2012 - 1 episode(s)       - 17 min.               - Hentai                                                                            - https://myanimelist.net/anime/14657
Next A-Class                                                                                      - 6.51  - 2012 - 1 episode(s)       - 6 min.                - Action, Cars, Sci-Fi                                                              - https://myanimelist.net/anime/16331
Night Head Genesis                                                                                - 6.85  - 2006 - 24 episode(s)      - 24 min. per ep.       - Psychological, Supernatural, Drama, Horror, Mystery                               - https://myanimelist.net/anime/1243
Ninja Hattori-kun Plus Perman: Chounouryoku Wars                                                  - 6.13  - 1984 - 1 episode(s)       - 55 min.               - Adventure, Martial Arts, Super Power                                              - https://myanimelist.net/anime/29235
Noragami Aragoto OVA                                                                              - 8.09  - 2015 - 2 episode(s)       - 23 min. per ep.       - Action, Adventure, Comedy, Supernatural, Shounen                                  - https://myanimelist.net/anime/30885
Noragami OVA                                                                                      - 7.90  - 2014 - 2 episode(s)       - 24 min. per ep.       - Action, Adventure, Comedy, Supernatural, Shounen                                  - https://myanimelist.net/anime/20767
Norasco (Movie)                                                                                   - 6.00  - 2016 - Unknown episode(s) - 2 min.                - Slice of Life, Comedy                                                             - https://myanimelist.net/anime/34092
Numa no Taishou                                                                                   - 5.17  - 1933 - 1 episode(s)       - 7 min.                - Adventure, Comedy                                                                 - https://myanimelist.net/anime/28049
Nyancos: Hello! Our Brilliant Future Digest                                                       - 3.00  - 2003 - 1 episode(s)       - 4 min.                - Sci-Fi, Space                                                                     - https://myanimelist.net/anime/33422
Nyancos: Hello! Our Brilliant Future                                                              - 3.57  - 2003 - 1 episode(s)       - 25 min.               - Sci-Fi, Space                                                                     - https://myanimelist.net/anime/33176
Oishinbo                                                                                          - 6.16  - 1988 - 136 episode(s)     - 23 min. per ep.       - Comedy, Slice of Life, Seinen                                                     - https://myanimelist.net/anime/1093
Onboro Film                                                                                       - 6.47  - 1985 - 1 episode(s)       - 5 min.                - Comedy, Parody                                                                    - https://myanimelist.net/anime/2550
One Piece Recap                                                                                   - 7.32  - 2010 - 1 episode(s)       - 29 min.               - Action, Adventure, Comedy, Fantasy, Shounen, Super Power                          - https://myanimelist.net/anime/8171
