Title                                                                                       - Score - Year - Num Eps      - Duration           - Genre(s)                                                                              - Link

** Kouhai                                                                                   - 7.26  - 2020 - 8 episodes   - 16 min per ep      - Fantasy, Harem, Hentai, Mythology                                                     - https://myanimelist.net/anime/40658
Kita e: Pure Session                                                                        - 5.58  - 2000 - 1 episode    - 23 min             - Music                                                                                 - https://myanimelist.net/anime/18643
Kkoma Bus Tayo 4                                                                            - 5.65  - 2016 - 26 episodes  - 11 min per ep      - Kids, Racing                                                                          - https://myanimelist.net/anime/38074
Knights of the Zodiac: Saint Seiya - Battle for Sanctuary                                   - 6.22  - 2022 - 12 episodes  - 23 min per ep      - Action, Adventure, Fantasy, Mythology, Sci-Fi, Shounen                                - https://myanimelist.net/anime/52273
Kohakuiro no Hunter The Animation                                                           - 6.27  - 2020 - 2 episodes   - 23 min per ep      - Hentai                                                                                - https://myanimelist.net/anime/41795
Konchuu Monogatari Mitsubachi Hutch: Yuuki no Melody                                        - 6.32  - 2010 - 1 episode    - 1 hr 40 min        - Adventure, Comedy, Drama                                                              - https://myanimelist.net/anime/8141
Kotonoha no Niwa                                                                            - 7.89  - 2013 - 1 episode    - 46 min             - Award Winning, Drama, Romance, Visual Arts                                            - https://myanimelist.net/anime/16782
Koukou Tekken-den Tough                                                                     - 6.90  - 2002 - 3 episodes   - 45 min per ep      - Action, Martial Arts, Seinen                                                          - https://myanimelist.net/anime/2797
Koutetsujou no Kabaneri Movie 1: Tsudou Hikari                                              - 7.55  - 2016 - 1 episode    - 1 hr 47 min        - Action, Drama, Fantasy, Gore, Historical, Horror, Survival                            - https://myanimelist.net/anime/33519
Kowarekake no Orgel                                                                         - 7.31  - 2009 - 1 episode    - 28 min             - Drama, Music, Sci-Fi, Slice of Life                                                   - https://myanimelist.net/anime/9213
Koyoi wa Halloween Night!                                                                   - 6.58  - 2020 - 1 episode    - 2 min              - Music, Supernatural                                                                   - https://myanimelist.net/anime/44345
Kuiba II: Dazhan Yuan Yang Jie                                                              - 6.39  - 2013 - 1 episode    - 1 hr 38 min        - Action, Adventure, Fantasy, Kids                                                      - https://myanimelist.net/anime/19687
Kurohime: Shikkoku no Yakata                                                                - 5.78  - 2002 - 2 episodes   - 28 min per ep      - Hentai                                                                                - https://myanimelist.net/anime/1385
Kuroshitsuji Picture Drama                                                                  - 7.07  - 2010 - 1 episode    - 17 min             - Mythology, Supernatural                                                               - https://myanimelist.net/anime/8068
Kyousou Giga (2012)                                                                         - 7.13  - 2012 - 5 episodes   - 10 min per ep      - Action, Fantasy                                                                       - https://myanimelist.net/anime/15359
Lei Su Deng: Yi Fei Chong Tian                                                              - None  - 2011 - 52 episodes  - 24 min per ep      - Kids, Racing, Strategy Game                                                           - https://myanimelist.net/anime/43303
Lemon Home Animation Gekijou                                                                - 4.80  - 2013 - 3 episodes   - 2 min per ep       - Comedy                                                                                - https://myanimelist.net/anime/30367
Lemonade                                                                                    - None  - 2012 - 1 episode    - 3 min              - Music                                                                                 - https://myanimelist.net/anime/54390
Ling Long: Incarnation Part 2                                                               - 7.23  - 2020 - 6 episodes   - 30 min per ep      - Action, Drama, Horror, Mythology, Sci-Fi, Suspense                                    - https://myanimelist.net/anime/42290
Long Shen Zhizi                                                                             - None  - 2020 - 1 episode    - 1 hr 29 min        - Adventure, Fantasy, Kids                                                              - https://myanimelist.net/anime/45118
Long Zhi Gu: Poxiao Qibing                                                                  - 7.19  - 2014 - 1 episode    - 1 hr 30 min        - Action, Adventure, Fantasy                                                            - https://myanimelist.net/anime/27825
Lord El-Melloi II Sei no Jikenbo: Rail Zeppelin Grace Note - Hakamori to Neko to Majutsushi - 7.11  - 2018 - 1 episode    - 24 min             - Fantasy, Mystery, Supernatural                                                        - https://myanimelist.net/anime/38936
Lord El-Melloi II Sei no Jikenbo: Rail Zeppelin Grace Note Special                          - 7.52  - 2021 - 1 episode    - 52 min             - Fantasy, Mystery, Supernatural                                                        - https://myanimelist.net/anime/49361
Love 2 Quad                                                                                 - 6.71  - 2012 - 3 episodes   - 24 min per ep      - Hentai                                                                                - https://myanimelist.net/anime/14539
Love Letter (Music)                                                                         - 6.93  - 2021 - 1 episode    - 3 min              - Music                                                                                 - https://myanimelist.net/anime/49751
Love Live! Kouhaku Special Anime                                                            - 6.34  - 2015 - 1 episode    - 30 sec             - Idols (Female), Music                                                                 - https://myanimelist.net/anime/32481
Love Live! μ's Final Love Live! Opening Animation                                           - 7.32  - 2016 - 1 episode    - 5 min              - Idols (Female), Music                                                                 - https://myanimelist.net/anime/33106
Love Live! μ's Go→Go! LoveLive! 2015: Dream Sensation!                                      - None  - 2015 - 4 episodes   - 8 min per ep       - Comedy, Music                                                                         - https://myanimelist.net/anime/42753
Lupin the IIIrd: Mine Fujiko no Uso                                                         - 7.30  - 2019 - 1 episode    - 57 min             - Action, Adult Cast, Adventure, Drama, Seinen                                          - https://myanimelist.net/anime/39487
Luv Wave                                                                                    - 5.87  - 2000 - 3 episodes   - 27 min per ep      - Action, Detective, Drama, Hentai, Horror, Mystery, Sci-Fi                             - https://myanimelist.net/anime/3254
