Title                                                                                       - Score - Year - Num Eps            - Duration             - Genre(s)                                                                        - Link
Mahou Sensei Negima! Shiroki Tsubasa Ala Alba                                               - 7.60  - 2008 - 3 episode(s)       - 30 min. per ep.      - Adventure, Comedy, Ecchi, Harem, Magic, Romance, Shounen, Supernatural, Vampire - https://myanimelist.net/anime/4188
Mahou Shoujo Lalabel: Umi ga Yobu Natsuyasumi                                               - 5.68  - 1980 - 1 episode(s)       - 15 min.              - Slice of Life, Magic, Comedy, Shoujo                                            - https://myanimelist.net/anime/7807
Mahou Shoujo Nante Mou Ii Desukara.                                                         - 6.00  - 2016 - 12 episode(s)      - 4 min. per ep.       - Comedy, Magic                                                                   - https://myanimelist.net/anime/31793
Maple Town Monogatari (Movie)                                                               - 5.73  - 1986 - 1 episode(s)       - 26 min.              - Slice of Life, Fantasy                                                          - https://myanimelist.net/anime/34826
Marginal#4: Kiss kara Tsukuru Big Bang                                                      - 6.83  - 2017 - 12 episode(s)      - 23 min. per ep.      - Music, Comedy, School                                                           - https://myanimelist.net/anime/33788
Marine Snow no Densetsu                                                                     - 6.24  - 1980 - 1 episode(s)       - 1 hr. 34 min.        - Sci-Fi                                                                          - https://myanimelist.net/anime/6942
Match Uri no Shoujo                                                                         - 6.12  - 1971 - 1 episode(s)       - 18 min.              - Drama, Kids                                                                     - https://myanimelist.net/anime/11693
Memories Off 3.5                                                                            - 6.40  - 2004 - 4 episode(s)       - 27 min. per ep.      - Romance, Drama                                                                  - https://myanimelist.net/anime/363
Minion                                                                                      - N/A   - 2014 - 2 episode(s)       - 2 min. per ep.       - Fantasy, Slice of Life                                                          - https://myanimelist.net/anime/37552
Mitsuwano                                                                                   - 6.10  - 2014 - 1 episode(s)       - 28 min.              - Slice of Life                                                                   - https://myanimelist.net/anime/21649
Mobile Suit Gundam Unicorn                                                                  - 8.32  - 2010 - 7 episode(s)       - 1 hr. 2 min. per ep. - Action, Drama, Mecha, Military, Sci-Fi, Space                                   - https://myanimelist.net/anime/6336
Mobile Suit Gundam: Char's Counterattack                                                    - 7.77  - 1988 - 1 episode(s)       - 1 hr. 59 min.        - Military, Sci-Fi, Space, Drama, Mecha                                           - https://myanimelist.net/anime/87
Mobile Suit SD Gundam Mk I                                                                  - 6.46  - 1988 - 3 episode(s)       - 10 min. per ep.      - Mecha, Parody, Sci-Fi                                                           - https://myanimelist.net/anime/2302
