Title                                                                                               - Score - Num Eps            - Duration              - Genre(s)                                                                                                                                                       - Link
Animation Seisaku Shinkou Kuromi-chan                                                               - 7.00  - 1 episode(s)       - 38 min.               - Comedy, Parody, Drama                                                                                                                                          - https://myanimelist.net/anime/1797
Animation!                                                                                          - 5.98  - 13 episode(s)      - 6 min. per ep.        - Adventure, Fantasy, Comedy, Dementia, Music, Mystery                                                                                                           - https://myanimelist.net/anime/7939
Animax Taisou                                                                                       - 4.82  - Unknown episode(s) - Unknown               - Sports, Kids                                                                                                                                                   - https://myanimelist.net/anime/30914
Anime Koten Bungaku Kan                                                                             - 5.15  - 6 episode(s)       - 18 min. per ep.       - Historical, Kids                                                                                                                                               - https://myanimelist.net/anime/24859
Anime Rakugo Kan                                                                                    - 5.81  - 8 episode(s)       - 21 min. per ep.       - Comedy                                                                                                                                                         - https://myanimelist.net/anime/8723
Anime Roukyoku Kikou Shimizu no Jirochouden                                                         - 4.75  - 30 episode(s)      - 15 min. per ep.       - Comedy, Historical, Drama                                                                                                                                      - https://myanimelist.net/anime/25063
Anime TV de Hakken! Tamagotchi                                                                      - 6.27  - 27 episode(s)      - 20 min. per ep.       - Comedy, Fantasy, Kids, Slice of Life                                                                                                                           - https://myanimelist.net/anime/6520
Animentary: Ketsudan                                                                                - 6.62  - 26 episode(s)      - 25 min. per ep.       - Historical, Military                                                                                                                                           - https://myanimelist.net/anime/8436
Anju to Zushioumaru                                                                                 - 6.23  - 1 episode(s)       - 1 hr. 23 min.         - Fantasy, Historical                                                                                                                                            - https://myanimelist.net/anime/7610
Ankoku Shinwa                                                                                       - 4.20  - 2 episode(s)       - 50 min. per ep.       - Demons, Fantasy, Horror, Mystery, Psychological, Supernatural                                                                                                  - https://myanimelist.net/anime/1966
Anne no Nikki: Anne Frank Monogatari                                                                - 6.62  - 1 episode(s)       - 1 hr. 25 min.         - Drama, Historical                                                                                                                                              - https://myanimelist.net/anime/12027
Anne no Nikki                                                                                       - 7.04  - 1 episode(s)       - 1 hr. 28 min.         - Drama, Historical                                                                                                                                              - https://myanimelist.net/anime/3829
Annyeong Totobi                                                                                     - 1.33  - 104 episode(s)     - 20 min. per ep.       - Kids                                                                                                                                                           - https://myanimelist.net/anime/36978
Anokoro no Namida wa                                                                                - 5.69  - 1 episode(s)       - 2 min.                - Music, Slice of Life                                                                                                                                           - https://myanimelist.net/anime/8669
Anpanman to Hajime yo! Iro, Kazu, Katachi Wakarukana Iro, Katachi                                   - 5.72  - 1 episode(s)       - 25 min.               - Kids                                                                                                                                                           - https://myanimelist.net/anime/19557
Ao no Doumon                                                                                        - 6.39  - 1 episode(s)       - 14 min.               - Kids, Samurai, Historical, Drama                                                                                                                               - https://myanimelist.net/anime/26285
Ao no Exorcist: Ura Ex                                                                              - 7.22  - 10 episode(s)      - 1 min. per ep.        - Action, Fantasy, Supernatural, Shounen                                                                                                                         - https://myanimelist.net/anime/10647
Aoi Blink                                                                                           - 6.91  - 39 episode(s)      - 25 min. per ep.       - Adventure, Fantasy                                                                                                                                             - https://myanimelist.net/anime/3631
