Title                                                                                                - Score - Num Eps            - Duration              - Genre(s)                                                                                                 - Link
Arslan Senki (TV): Fuujin Ranbu                                                                      - 7.63  - 8 episode(s)       - 24 min. per ep.       - Action, Adventure, Historical, Supernatural, Drama, Fantasy, Shounen                                     - https://myanimelist.net/anime/31821
Aru Hi Inu no Kuni kara Tegami ga Kite                                                               - 6.62  - 1 episode(s)       - 11 min.               - Drama, Shoujo                                                                                            - https://myanimelist.net/anime/31387
Aruhi no Clamp Gakuen Tanteidan                                                                      - 6.36  - 13 episode(s)      - 1 min. per ep.        - Comedy                                                                                                   - https://myanimelist.net/anime/6107
Asagao to Kase-san.                                                                                  - N/A   - 1 episode(s)       - Unknown               - Romance, School, Shoujo Ai                                                                               - https://myanimelist.net/anime/36214
Asagiri no Miko                                                                                      - 6.27  - 26 episode(s)      - 12 min. per ep.       - Action, Comedy, Drama, Fantasy, Magic, School, Sci-Fi, Shounen, Slice of Life, Super Power, Supernatural - https://myanimelist.net/anime/231
Asari-chan                                                                                           - 6.42  - 54 episode(s)      - 24 min. per ep.       - Slice of Life, Comedy, Shoujo                                                                            - https://myanimelist.net/anime/6629
Asatte Dance                                                                                         - 5.67  - 2 episode(s)       - 45 min. per ep.       - Ecchi, Comedy, Romance, Drama, Seinen                                                                    - https://myanimelist.net/anime/8643
Asatte no Houkou.                                                                                    - 7.14  - 12 episode(s)      - 25 min. per ep.       - Supernatural, Drama                                                                                      - https://myanimelist.net/anime/1554
Ashiaraiyashiki no Juunin-tachi.                                                                     - 5.06  - 1 episode(s)       - 6 min.                - Action, Fantasy, Supernatural, Seinen                                                                    - https://myanimelist.net/anime/8064
Ashita Tenki ni Naare                                                                                - 6.34  - 47 episode(s)      - 22 min. per ep.       - Sports, Shounen                                                                                          - https://myanimelist.net/anime/3131
Ashita no Joe 2                                                                                      - 8.59  - 47 episode(s)      - 24 min. per ep.       - Action, Drama, Shounen, Slice of Life, Sports                                                            - https://myanimelist.net/anime/2921
Ashita no Joe                                                                                        - 8.26  - 79 episode(s)      - 25 min. per ep.       - Action, Drama, Shounen, Slice of Life, Sports                                                            - https://myanimelist.net/anime/2402
Asobot Senki Gokuu                                                                                   - 6.83  - 52 episode(s)      - 23 min. per ep.       - Action, Sci-Fi, Adventure, Comedy, Shounen                                                               - https://myanimelist.net/anime/3193
Assemble Insert                                                                                      - 6.19  - 2 episode(s)       - 30 min. per ep.       - Sci-Fi, Comedy, Police                                                                                   - https://myanimelist.net/anime/2414
Astarotte no Omocha!                                                                                 - 6.76  - 12 episode(s)      - 23 min. per ep.       - Comedy, Demons, Ecchi, Fantasy, Romance, Seinen                                                          - https://myanimelist.net/anime/9736
Astro Boy: Tetsuwan Atom                                                                             - 7.02  - 50 episode(s)      - 24 min. per ep.       - Action, Sci-Fi, Adventure, Super Power, Kids, Mecha, Shounen                                             - https://myanimelist.net/anime/971
Asura                                                                                                - 7.19  - 1 episode(s)       - 1 hr. 15 min.         - Drama, Historical                                                                                        - https://myanimelist.net/anime/8475
Atashin'chi                                                                                          - 7.42  - 330 episode(s)     - 25 min. per ep.       - Comedy, Slice of Life                                                                                    - https://myanimelist.net/anime/3006
Atom: The Beginning                                                                                  - 6.98  - 12 episode(s)      - 25 min. per ep.       - Action, Sci-Fi, Mecha, Seinen                                                                            - https://myanimelist.net/anime/33371
Attack No.1                                                                                          - 6.83  - 104 episode(s)     - 24 min. per ep.       - Drama, Shoujo, Sports                                                                                    - https://myanimelist.net/anime/1550
Attacker You!                                                                                        - 6.63  - 58 episode(s)      - 23 min. per ep.       - Action, Romance, Shoujo, Sports                                                                          - https://myanimelist.net/anime/3081
Ayashi no Ceres                                                                                      - 7.35  - 24 episode(s)      - 21 min. per ep.       - Adventure, Comedy, Horror, Psychological, Supernatural, Drama, Romance, Shoujo                           - https://myanimelist.net/anime/104
Azuki-chan the Movie                                                                                 - 6.16  - 1 episode(s)       - 30 min.               - Comedy, Romance, Shoujo, Slice of Life                                                                   - https://myanimelist.net/anime/6095
Azuki-chan                                                                                           - 6.83  - 117 episode(s)     - 24 min. per ep.       - Comedy, Romance, Shoujo, Slice of Life                                                                   - https://myanimelist.net/anime/1893
B.B. Fish                                                                                            - 4.91  - 1 episode(s)       - 29 min.               - Drama, Romance, Seinen                                                                                   - https://myanimelist.net/anime/5904
Babel Nisei (2001)                                                                                   - 5.92  - 13 episode(s)      - 24 min. per ep.       - Action, Sci-Fi, Adventure, Mystery, Supernatural, Shounen                                                - https://myanimelist.net/anime/1664
Baby☆Love                                                                                            - 6.40  - 1 episode(s)       - 30 min.               - Comedy, Romance                                                                                          - https://myanimelist.net/anime/722
