Title                                                                                              - Score - Year    - Num Eps      - Duration           - Genre(s)                                                                                   - Link

#Compass 2.0: Sentou Setsuri Kaiseki System                                                        - None  - 2025    - Ongoing      - Unknown            -                                                                                            - https://myanimelist.net/anime/53762
#Compass                                                                                           - None  - 2018    - 10 episodes  - 4 min per ep       - Strategy Game                                                                              - https://myanimelist.net/anime/38603
Chokotto Anime Kemono Friends 3                                                                    - 5.95  - 2019    - 26 episodes  - 1 min per ep       - Adventure, Comedy, Fantasy                                                                 - https://myanimelist.net/anime/39653
Choujigen Game Neptune The Animation OVA                                                           - 7.15  - 2019    - 3 episodes   - 26 min per ep      - Action, Comedy, Fantasy, Sci-Fi                                                            - https://myanimelist.net/anime/39638
Choujigen Game Neptune The Animation: Yakusoku no Eien - True End                                  - 7.22  - 2014    - 1 episode    - 24 min             - Action, Comedy, Fantasy, Sci-Fi                                                            - https://myanimelist.net/anime/20479
Choujigen Game Neptune The Animation                                                               - 6.92  - 2013    - 12 episodes  - 24 min per ep      - Action, Comedy, Fantasy, Parody, Sci-Fi                                                    - https://myanimelist.net/anime/16157
Choujigen Game Neptune: Hi☆Light                                                                   - 6.77  - 2020    - 2 episodes   - 1 hr 36 min per ep - Action, Comedy, Fantasy, Parody, Sci-Fi                                                    - https://myanimelist.net/anime/40073
Choujin Gakuen Gowcaizer: The Voltage Fighters                                                     - 4.99  - 1996    - 3 episodes   - 30 min per ep      - Action, Ecchi, Martial Arts, Sci-Fi                                                        - https://myanimelist.net/anime/1560
Chousoku Henkei Gyrozetter                                                                         - 6.47  - 2012    - 51 episodes  - 25 min per ep      - Action, Mecha, Racing                                                                      - https://myanimelist.net/anime/14989
Chuanyue Huoxian: Youling Jihua                                                                    - None  - 2019    - 13 episodes  - 21 min per ep      - Action, Detective, Military, Mystery, Strategy Game                                        - https://myanimelist.net/anime/40484
Chuanyue Shihun De Lilian                                                                          - None  - 2018    - 6 episodes   - 4 min per ep       - Comedy                                                                                     - https://myanimelist.net/anime/47758
Cinderella Girls Gekijou: 5-shuunen Kinen Short Anime                                              - 5.93  - 2016    - 1 episode    - 3 min              - Comedy                                                                                     - https://myanimelist.net/anime/34489
Circlet Princess                                                                                   - 5.98  - 2019    - 12 episodes  - 24 min per ep      - School, Sci-Fi, Sports                                                                     - https://myanimelist.net/anime/38157
Clash Royale: Cards Coming to Life                                                                 - None  - 2017    - 1 episode    - Unknown            - Sports, Video Game                                                                         - https://myanimelist.net/anime/56208
Closers: Side Blacklambs                                                                           - 6.20  - 2016    - 6 episodes   - 16 min per ep      - Fantasy, Strategy Game                                                                     - https://myanimelist.net/anime/32152
Closure no Kimitsu File                                                                            - 6.17  - 2021    - 17 episodes  - 2 min per ep       - Comedy                                                                                     - https://myanimelist.net/anime/48994
Cocktail Prince: Making Love!!                                                                     - 5.63  - 2016    - 1 episode    - 2 min              - Music, Reverse Harem                                                                       - https://myanimelist.net/anime/33718
Cocktail Prince: Shaking Night!!                                                                   - 5.91  - 2018    - 1 episode    - 1 min              - Music, Reverse Harem                                                                       - https://myanimelist.net/anime/37316
Conception                                                                                         - 4.60  - 2018    - 12 episodes  - 23 min per ep      - Action, Comedy, Fantasy, Harem, Isekai, Parody, Romance                                    - https://myanimelist.net/anime/37823
CoroCoro Monster Ball                                                                              - 5.68  - 2019    - 7 episodes   - 5 min per ep       - Fantasy, Kids                                                                              - https://myanimelist.net/anime/51866
Cosmic Break                                                                                       - 5.94  - 2010    - 4 episodes   - 7 min per ep       - Drama, Mecha, Strategy Game                                                                - https://myanimelist.net/anime/17295
Cosmic Fantasy: Ginga Mehyou no Wana                                                               - 5.33  - 1994    - 1 episode    - 42 min             - Action, Comedy, Fantasy, Romance, Sci-Fi, Space                                            - https://myanimelist.net/anime/5990
Cosmo Warrior Zero                                                                                 - 6.52  - 2001    - 13 episodes  - 25 min per ep      - Action, Adventure, Military, Sci-Fi, Space                                                 - https://myanimelist.net/anime/1676
Crazy Roulette                                                                                     - 6.53  - 2019    - 1 episode    - 2 min              - Idols (Male), Music                                                                        - https://myanimelist.net/anime/40690
Crescent Rise                                                                                      - 6.87  - 2020    - 1 episode    - 6 min              - Idols (Male), Music                                                                        - https://myanimelist.net/anime/41167
Cue! Short Anime                                                                                   - 5.83  - 2019    - 12 episodes  - 3 min per ep       - Comedy                                                                                     - https://myanimelist.net/anime/51684
Cue!                                                                                               - 6.79  - 2022    - 24 episodes  - 24 min per ep      - Music, Showbiz                                                                             - https://myanimelist.net/anime/43735
Cyberpunk: Edgerunners                                                                             - 8.60  - 2022    - 10 episodes  - 25 min per ep      - Action, Gore, Psychological, Sci-Fi                                                        - https://myanimelist.net/anime/42310
Cyphers                                                                                            - 5.84  - 2011    - 3 episodes   - 2 min per ep       - Action                                                                                     - https://myanimelist.net/anime/33972
D5 Xiaodui 2nd Season                                                                              - None  - 2021    - 12 episodes  - 5 min per ep       - Comedy                                                                                     - https://myanimelist.net/anime/47862
