Title                                                                                                - Score - Year    - Num Eps            - Duration              - Genre(s)                                                                                                 - Link
Amaenaide yo!! Katsu!!                                                                               - 6.83  - 2006    - 12 episode(s)      - 24 min. per ep.       - Comedy, Ecchi, Harem, Romance, Supernatural                                                              - https://myanimelist.net/anime/886
Amaenaide yo!!                                                                                       - 6.61  - 2005    - 12 episode(s)      - 24 min. per ep.       - Comedy, Ecchi, Harem, Romance, Supernatural                                                              - https://myanimelist.net/anime/591
Amanchu! Advance                                                                                     - 7.60  - 2018    - 12 episode(s)      - 23 min. per ep.       - Comedy, School, Shounen, Slice of Life                                                                   - https://myanimelist.net/anime/36800
Amanchu!: Yakusoku no Natsu to Atarashii Omoide no Koto                                              - 7.44  - 2017    - 1 episode(s)       - 23 min.               - Slice of Life, Comedy, School, Shounen                                                                   - https://myanimelist.net/anime/33818
Amanchu!                                                                                             - 7.35  - 2016    - 12 episode(s)      - 23 min. per ep.       - Comedy, School, Shounen, Slice of Life                                                                   - https://myanimelist.net/anime/31771
Amanee!: Tomodachinchi de Konna Koto ni Naru Nante!                                                  - 6.99  - 2013    - 1 episode(s)       - 25 min.               - Hentai                                                                                                   - https://myanimelist.net/anime/21069
Amatsuki                                                                                             - 7.00  - 2008    - 13 episode(s)      - 23 min. per ep.       - Action, Historical, Demons, Supernatural, Fantasy, Josei                                                 - https://myanimelist.net/anime/3359
Amefuri Kozou                                                                                        - 6.32  - 1983    - 1 episode(s)       - 24 min.               - Supernatural, Fantasy                                                                                    - https://myanimelist.net/anime/6462
Amon: Devilman Mokushiroku                                                                           - 6.56  - 2000    - 1 episode(s)       - 45 min.               - Demons, Horror, Psychological, Supernatural                                                              - https://myanimelist.net/anime/2356
Ana no Oku no Ii Tokoro                                                                              - 6.31  - 2014    - 2 episode(s)       - 20 min. per ep.       - Hentai                                                                                                   - https://myanimelist.net/anime/27881
Android Ana Maico 2010                                                                               - 6.54  - 1998    - 24 episode(s)      - 14 min. per ep.       - Comedy, Drama, Sci-Fi, Seinen                                                                            - https://myanimelist.net/anime/810
Andromeda Stories                                                                                    - 5.98  - 1982    - 1 episode(s)       - 1 hr. 25 min.         - Action, Drama, Fantasy, Sci-Fi, Space                                                                    - https://myanimelist.net/anime/3675
Ane Koi: Suki Kirai Daisuki.                                                                         - 7.03  - 2013    - 2 episode(s)       - 26 min. per ep.       - Hentai                                                                                                   - https://myanimelist.net/anime/16642
Ane Kyun!: Joshi ga Ie ni Kita!                                                                      - 6.70  - 2014    - 1 episode(s)       - 25 min.               - Hentai                                                                                                   - https://myanimelist.net/anime/24967
Ane Log: Moyako Neesan no Honpen wo Tobidashite Tomaranai Monologue Specials                         - 5.35  - 2014    - 3 episode(s)       - 5 min. per ep.        - Comedy, Ecchi                                                                                            - https://myanimelist.net/anime/30739
Ane Log: Moyako Neesan no Honpen wo Tobidashite Tomaranai Monologue                                  - 6.19  - 2014    - 6 episode(s)       - 3 min. per ep.        - Comedy, Ecchi, Romance, Shounen, Slice of Life                                                           - https://myanimelist.net/anime/27619
Ane Log: Moyako Neesan no Tomaranai Monologue                                                        - 6.29  - 2014    - 3 episode(s)       - 23 min. per ep.       - Comedy, Ecchi, School, Shounen                                                                           - https://myanimelist.net/anime/24531
Aneki... My Sweet Elder Sister The Animation                                                         - 6.96  - 2007    - 4 episode(s)       - 30 min. per ep.       - Hentai                                                                                                   - https://myanimelist.net/anime/4600
Angel Densetsu                                                                                       - 7.50  - 1996    - 2 episode(s)       - 24 min. per ep.       - Action, Comedy, School                                                                                   - https://myanimelist.net/anime/5251
Angel Heart                                                                                          - 7.35  - 2005    - 50 episode(s)      - 23 min. per ep.       - Action, Mystery, Drama, Romance, Seinen                                                                  - https://myanimelist.net/anime/282
Angel                                                                                                - 5.44  - 1990    - 1 episode(s)       - 44 min.               - Comedy, Hentai, School                                                                                   - https://myanimelist.net/anime/3633
Angolmois: Genkou Kassenki                                                                           - N/A   - 2018    - Unknown episode(s) - Unknown               - Action, Military, Historical, Drama, Samurai                                                             - https://myanimelist.net/anime/35834
Ani ni Tsukeru Kusuri wa Nai!                                                                        - 7.38  - 2017    - 12 episode(s)      - 3 min. per ep.        - Slice of Life, Comedy, School                                                                            - https://myanimelist.net/anime/35015
Animal Yokochou                                                                                      - 7.01  - 2005    - 51 episode(s)      - 23 min. per ep.       - Adventure, Comedy, Fantasy, Shoujo                                                                       - https://myanimelist.net/anime/280
Anime de Wakaru Shinryounaika                                                                        - 6.69  - 2015    - 20 episode(s)      - 5 min. per ep.        - Comedy, Seinen                                                                                           - https://myanimelist.net/anime/27911
Anmitsu Hime                                                                                         - 6.51  - 1986    - 51 episode(s)      - 24 min. per ep.       - Comedy, Historical, Shoujo                                                                               - https://myanimelist.net/anime/6093
Anne Happy♪                                                                                          - 7.07  - 2016    - 12 episode(s)      - 23 min. per ep.       - Slice of Life, Comedy, School                                                                            - https://myanimelist.net/anime/31080
Ano Ko ni 1000%                                                                                      - 5.36  - 1989    - 1 episode(s)       - 10 min.               - Romance, School, Shoujo                                                                                  - https://myanimelist.net/anime/7475
Ano Ko to Ii Koto                                                                                    - 6.90  - 2015    - 2 episode(s)       - 19 min. per ep.       - Hentai                                                                                                   - https://myanimelist.net/anime/31117
Ansatsu Kyoushitsu 2nd Season: Kagaijugyou-hen                                                       - 7.91  - 2016    - 8 episode(s)       - 5 min. per ep.        - Action, Comedy, School, Shounen                                                                          - https://myanimelist.net/anime/32863
Ansatsu Kyoushitsu 2nd Season                                                                        - 8.66  - 2016    - 25 episode(s)      - 23 min. per ep.       - Action, Comedy, School, Shounen                                                                          - https://myanimelist.net/anime/30654
Ansatsu Kyoushitsu: 365-nichi no Jikan                                                               - 7.71  - 2016    - 1 episode(s)       - 1 hr. 32 min.         - Action, Comedy, School, Shounen                                                                          - https://myanimelist.net/anime/33513
Ansatsu Kyoushitsu: Deai no Jikan                                                                    - 7.46  - 2014    - 1 episode(s)       - 10 min.               - Action, Comedy, School, Shounen                                                                          - https://myanimelist.net/anime/28405
Ansatsu Kyoushitsu: Jump Festa 2013 Special                                                          - 7.33  - 2013    - 1 episode(s)       - 31 min.               - Action, Comedy, Shounen                                                                                  - https://myanimelist.net/anime/19759
Ansatsu Kyoushitsu                                                                                   - 8.22  - 2015    - 22 episode(s)      - 23 min. per ep.       - Action, Comedy, School, Shounen                                                                          - https://myanimelist.net/anime/24833
Answer (2016)                                                                                        - 7.42  - 2016    - 1 episode(s)       - 5 min.                - Music, Drama, Seinen                                                                                     - https://myanimelist.net/anime/34611
Ao Haru Ride OVA                                                                                     - 7.72  - 2014    - 2 episode(s)       - 21 min. per ep.       - Slice of Life, Romance, School, Shoujo                                                                   - https://myanimelist.net/anime/24151
Ao Haru Ride                                                                                         - 7.83  - 2014    - 12 episode(s)      - 23 min. per ep.       - Comedy, Drama, Romance, School, Shoujo, Slice of Life                                                    - https://myanimelist.net/anime/21995
Ao no 6-gou                                                                                          - 7.14  - 1998    - 4 episode(s)       - 32 min. per ep.       - Action, Adventure, Mecha, Military, Sci-Fi                                                               - https://myanimelist.net/anime/1051
Ao no Exorcist Movie                                                                                 - 7.82  - 2012    - 1 episode(s)       - 1 hr. 28 min.         - Action, Demons, Fantasy, Shounen, Supernatural                                                           - https://myanimelist.net/anime/11737
Ao no Exorcist: Kuro no Iede                                                                         - 7.41  - 2011    - 1 episode(s)       - 24 min.               - Action, Demons, Fantasy, Shounen, Supernatural                                                           - https://myanimelist.net/anime/11266
Ao no Exorcist: Kyoto Fujouou-hen OVA                                                                - 7.29  - 2017    - 2 episode(s)       - 24 min. per ep.       - Action, Demons, Supernatural, Fantasy, Shounen                                                           - https://myanimelist.net/anime/34465
Ao no Exorcist: Kyoto Fujouou-hen                                                                    - 7.69  - 2017    - 12 episode(s)      - 24 min. per ep.       - Action, Demons, Supernatural, Fantasy, Shounen                                                           - https://myanimelist.net/anime/33506
Ao no Exorcist                                                                                       - 7.84  - 2011    - 25 episode(s)      - 24 min. per ep.       - Action, Demons, Fantasy, Shounen, Supernatural                                                           - https://myanimelist.net/anime/9919
Aoharu x Kikanjuu: Kemono-tachi no Senjou da na!                                                     - 7.33  - 2015    - 1 episode(s)       - 24 min.               - Action, Comedy, Shounen                                                                                  - https://myanimelist.net/anime/31754
Aoharu x Kikanjuu                                                                                    - 7.29  - 2015    - 12 episode(s)      - 24 min. per ep.       - Action, Comedy, Sports, Shounen                                                                          - https://myanimelist.net/anime/30205
Aoi Hana                                                                                             - 7.25  - 2009    - 11 episode(s)      - 22 min. per ep.       - Romance, Slice of Life, Shoujo Ai                                                                        - https://myanimelist.net/anime/6164
Aoi Sekai no Chuushin de                                                                             - 5.95  - 2012    - 3 episode(s)       - 23 min. per ep.       - Action, Adventure, Ecchi, Fantasy, Parody, Shounen                                                       - https://myanimelist.net/anime/15133
Aoi Triton                                                                                           - 6.31  - 2002    - 1 episode(s)       - 8 min.                - Fantasy, Shounen                                                                                         - https://myanimelist.net/anime/36163
