Title                                                                                     - Score - Year - Num Eps            - Duration              - Genre(s)                                                                          - Link
Dragon Knight Gaiden                                                                      - 5.15  - 1995 - 1 episode(s)       - 47 min.               - Action, Fantasy, Hentai, Demons                                                   - https://myanimelist.net/anime/2480
Dragon&#039;s Heaven                                                                      - 6.12  - 1988 - 1 episode(s)       - 42 min.               - Action, Adventure, Fantasy, Mecha, Sci-Fi                                         - https://myanimelist.net/anime/3135
Dream Hazard: Akuma no Program                                                            - 4.58  - 1998 - 1 episode(s)       - 27 min.               - Hentai                                                                            - https://myanimelist.net/anime/4178
Dropout                                                                                   - 7.22  - 2016 - 2 episode(s)       - 17 min. per ep.       - Hentai                                                                            - https://myanimelist.net/anime/31886
Early Reins                                                                               - 5.96  - 2003 - 1 episode(s)       - 44 min.               - Action, Adventure, Seinen                                                         - https://myanimelist.net/anime/1928
Eat You Up/Bunny                                                                          - 4.97  - 2012 - 1 episode(s)       - 2 min.                - Music                                                                             - https://myanimelist.net/anime/30433
Echo: Kodama Suru Uta                                                                     - 4.00  - 2018 - 1 episode(s)       - 2 min.                - Kids, Music                                                                       - https://myanimelist.net/anime/37465
Emi to Yobanaide                                                                          - 5.23  - 1997 - 2 episode(s)       - 30 min. per ep.       - Hentai                                                                            - https://myanimelist.net/anime/5609
Enkou JK Bitch Gal: Ojisan to Namapako Seikatsu                                           - 7.07  - 2018 - Unknown episode(s) - Unknown               - Hentai                                                                            - https://myanimelist.net/anime/37088
Ergo Proxy                                                                                - 8.00  - 2006 - 23 episode(s)      - 25 min. per ep.       - Sci-Fi, Mystery, Psychological                                                    - https://myanimelist.net/anime/790
Eyedrops Special Episode                                                                  - 4.78  - 2018 - 2 episode(s)       - 6 min. per ep.        - Space                                                                             - https://myanimelist.net/anime/37279
Fairy Tail Movie 1: Houou no Miko - Hajimari no Asa                                       - 7.48  - 2013 - 1 episode(s)       - 12 min.               - Fantasy, Magic, Shounen                                                           - https://myanimelist.net/anime/17535
Fault!! Service: Aratanaru Rival                                                          - 7.10  - 2013 - 1 episode(s)       - 26 min.               - Hentai, School                                                                    - https://myanimelist.net/anime/16638
Feng Shu Zhan Jing 2                                                                      - 7.80  - 2012 - 26 episode(s)      - 22 min. per ep.       - Adventure, Kids, Mecha                                                            - https://myanimelist.net/anime/33792
Fengshen Bang                                                                             - 4.14  - 1976 - 1 episode(s)       - 1 hr. 18 min.         - Action, Fantasy, Martial Arts                                                     - https://myanimelist.net/anime/35379
Fighting of Ecstasy                                                                       - 5.86  - 2011 - 2 episode(s)       - 22 min. per ep.       - Hentai                                                                            - https://myanimelist.net/anime/9434
Fin-tan                                                                                   - 4.55  - 2017 - 3 episode(s)       - 2 min. per ep.        - Comedy                                                                            - https://myanimelist.net/anime/34980
Finder Series                                                                             - 6.71  - 2012 - 2 episode(s)       - 43 min. per ep.       - Action, Drama, Yaoi                                                               - https://myanimelist.net/anime/9761
First Kiss Monogatari                                                                     - 5.17  - 2000 - 1 episode(s)       - 31 min.               - Drama, Romance                                                                    - https://myanimelist.net/anime/725
FlashBack                                                                                 - 6.84  - 2012 - 1 episode(s)       - 3 min.                - Music                                                                             - https://myanimelist.net/anime/13281
Floating Material                                                                         - 6.75  - 2011 - 2 episode(s)       - 30 min. per ep.       - Hentai                                                                            - https://myanimelist.net/anime/9970
Flowering Heart                                                                           - 5.37  - 2016 - 26 episode(s)      - 13 min. per ep.       - Kids, Magic                                                                       - https://myanimelist.net/anime/32691
Fly                                                                                       - 3.96  - 2012 - 1 episode(s)       - 1 min.                - Fantasy                                                                           - https://myanimelist.net/anime/33536
Fortissimo Bell                                                                           - 5.32  - 2017 - 1 episode(s)       - 2 min.                - Music                                                                             - https://myanimelist.net/anime/36595
Fortune Arterial: Akai Yakusoku - Tadoritsuita Basho                                      - 7.00  - 2011 - 1 episode(s)       - 24 min.               - Harem, Comedy, Romance, Vampire, Fantasy                                          - https://myanimelist.net/anime/9347
Fresh Precure!                                                                            - 7.42  - 2009 - 50 episode(s)      - 25 min. per ep.       - Action, Slice of Life, Fantasy, Magic, Comedy, Shoujo                             - https://myanimelist.net/anime/5684
Fujoshi no Hinkaku                                                                        - 6.25  - 2010 - 1 episode(s)       - 30 min.               - Slice of Life                                                                     - https://myanimelist.net/anime/8178
