Title                                                                            - Score - Year - Num Eps            - Duration              - Genre(s)                                                                     - Link
Dallos Special                                                                   - 5.65  - 1985 - 1 episode(s)       - 1 hr. 25 min.         - Fantasy                                                                      - https://myanimelist.net/anime/10313
Dappys                                                                           - 6.57  - 2017 - Unknown episode(s) - 50 sec.               - Music                                                                        - https://myanimelist.net/anime/35516
Daze                                                                             - 7.32  - 2014 - 1 episode(s)       - 3 min.                - Music                                                                        - https://myanimelist.net/anime/24429
Dead Girl Trailer                                                                - 3.44  - 2011 - 1 episode(s)       - 1 min.                - Horror, Parody, Supernatural, Thriller                                       - https://myanimelist.net/anime/16602
Deeky & Carina                                                                   - 5.53  - 2017 - Unknown episode(s) - 45 sec.               - Comedy, Music                                                                - https://myanimelist.net/anime/35517
Dengeki Oshioki Musume Gootaman: Gootaman Tanjou-hen                             - 5.30  - 1994 - 1 episode(s)       - 45 min.               - Action, Comedy, Ecchi, Parody                                                - https://myanimelist.net/anime/5025
Dennou Coil                                                                      - 8.15  - 2007 - 26 episode(s)      - 25 min. per ep.       - Adventure, Comedy, Drama, Mystery, Sci-Fi                                    - https://myanimelist.net/anime/2164
Densetsu Kyojin Ideon                                                            - 7.02  - 1980 - 39 episode(s)      - 25 min. per ep.       - Sci-Fi, Space, Drama, Mecha                                                  - https://myanimelist.net/anime/930
Detective Conan OVA 11: A Secret Order from London                               - 7.50  - 2011 - 1 episode(s)       - 25 min.               - Adventure, Police, Comedy, Mystery, Shounen                                  - https://myanimelist.net/anime/10703
Digimon Adventure tri. 6: Bokura no Mirai                                        - N/A   - 2018 - 1 episode(s)       - 2 hr.                 - Action, Adventure, Comedy, Drama                                             - https://myanimelist.net/anime/36466
Dogs: Bullets & Carnage                                                          - 7.42  - 2009 - 4 episode(s)       - 15 min. per ep.       - Action, Seinen                                                               - https://myanimelist.net/anime/5593
Dohyou no Oni-tachi                                                              - 6.00  - 1994 - 1 episode(s)       - 1 hr. 35 min.         - Drama, Historical, Sports                                                    - https://myanimelist.net/anime/17665
Dokidoki Little Ooyasan                                                          - N/A   - 2018 - Unknown episode(s) - 30 min.               - Hentai                                                                       - https://myanimelist.net/anime/37405
Dominion                                                                         - 7.03  - 1988 - 4 episode(s)       - 36 min. per ep.       - Sci-Fi, Comedy, Police, Mecha                                                - https://myanimelist.net/anime/1151
Dorei Ichiba                                                                     - 6.34  - 2002 - 3 episode(s)       - 30 min. per ep.       - Hentai                                                                       - https://myanimelist.net/anime/3385
Dorei Maid Princess                                                              - 6.64  - 2007 - 4 episode(s)       - 30 min. per ep.       - Fantasy, Hentai                                                              - https://myanimelist.net/anime/3999
Dosukoi! Wanpaku Dohyou                                                          - 5.71  - 1994 - 1 episode(s)       - 55 min.               - Drama, Sports                                                                - https://myanimelist.net/anime/25299
Downloader                                                                       - 6.05  - 2011 - 1 episode(s)       - 3 min.                - Music                                                                        - https://myanimelist.net/anime/10691
Dragon League                                                                    - 7.16  - 1993 - 39 episode(s)      - 24 min. per ep.       - Adventure, Fantasy, Sports, Comedy, Shounen                                  - https://myanimelist.net/anime/5197
Echigo no Mukashibanashi: Attaten Ganoo                                          - 4.29  - 2000 - 1 episode(s)       - 30 min.               - Demons, Horror, Kids                                                         - https://myanimelist.net/anime/28117
Eddy & Emmy no Initial Ring wa Futari de                                         - 5.14  - 1993 - 1 episode(s)       - 10 min.               - Kids                                                                         - https://myanimelist.net/anime/35036
Eguchi Hisashi no Kotobuki Gorou Show                                            - 5.85  - 1991 - 4 episode(s)       - 7 min. per ep.        - Comedy, Ecchi, Parody                                                        - https://myanimelist.net/anime/20385
Eievui to Colorful Friends                                                       - 6.29  - 2017 - 1 episode(s)       - 1 min.                - Slice of Life                                                                - https://myanimelist.net/anime/35551
El Hazard: The Magnificent World                                                 - 7.41  - 1995 - 7 episode(s)       - 34 min. per ep.       - Adventure, Comedy, Fantasy, Romance                                          - https://myanimelist.net/anime/117
Enbi                                                                             - 6.37  - 2014 - 2 episode(s)       - 16 min. per ep.       - Hentai                                                                       - https://myanimelist.net/anime/23519
Enshou Nihon Mukashibanashi                                                      - 4.83  - 1988 - 1 episode(s)       - 30 min.               - Comedy, Hentai, Historical                                                   - https://myanimelist.net/anime/11825
Explorer Woman Ray                                                               - 5.39  - 1989 - 2 episode(s)       - 30 min. per ep.       - Action, Adventure                                                            - https://myanimelist.net/anime/4252
Fairy Tail Movie 2: Dragon Cry                                                   - 7.72  - 2017 - 1 episode(s)       - 1 hr. 24 min.         - Action, Adventure, Comedy, Magic, Fantasy, Shounen                           - https://myanimelist.net/anime/30778
Fairy Tail OVA (2016)                                                            - 7.48  - 2016 - 3 episode(s)       - 27 min. per ep.       - Comedy, Magic, Ecchi, Fantasy, Shounen                                       - https://myanimelist.net/anime/32930
Famiresu Senshi Purin                                                            - 6.43  - 2004 - 3 episode(s)       - 30 min. per ep.       - Hentai                                                                       - https://myanimelist.net/anime/2134
Figure 17: Tsubasa & Hikaru                                                      - 7.30  - 2001 - 13 episode(s)      - 47 min. per ep.       - Sci-Fi, Slice of Life                                                        - https://myanimelist.net/anime/1126
First Squad: The Moment of Truth                                                 - 6.10  - 2009 - 1 episode(s)       - 1 hr. 13 min.         - Action, Historical, Military, Super Power, Supernatural                      - https://myanimelist.net/anime/5178
Five Fire Fish                                                                   - 4.78  - 2013 - 1 episode(s)       - 1 min.                - Dementia                                                                     - https://myanimelist.net/anime/35450
Flowering Heart 2                                                                - 3.57  - 2017 - 26 episode(s)      - 11 min. per ep.       - Kids, Magic                                                                  - https://myanimelist.net/anime/36618
Flutter of Birds II: Tenshi-tachi no Tsubasa                                     - 5.63  - 2003 - 2 episode(s)       - 30 min. per ep.       - Drama, Hentai, Romance                                                       - https://myanimelist.net/anime/2208
Flutter of Birds: Tori-tachi no Habataki                                         - 5.80  - 2002 - 2 episode(s)       - 30 min. per ep.       - Hentai                                                                       - https://myanimelist.net/anime/1404
Frame Arms: A Violent Struggle                                                   - 4.95  - 2015 - 1 episode(s)       - 5 min.                - Mecha                                                                        - https://myanimelist.net/anime/30010
Fujinkoron-senpai                                                                - 5.08  - 2016 - 1 episode(s)       - 1 min.                - Comedy                                                                       - https://myanimelist.net/anime/33872
Full Metal Panic! The Second Raid: Wari to Hima na Sentaichou no Ichinichi       - 7.75  - 2006 - 1 episode(s)       - 30 min.               - Comedy                                                                       - https://myanimelist.net/anime/1015
FunaQ: Funassyi to Soutai-kun                                                    - 4.57  - 2013 - 14 episode(s)      - 12 min. per ep.       - Slice of Life                                                                - https://myanimelist.net/anime/35611
Furyou ni Hamerarete Jusei Suru Kyonyuu Okaasan The Animation                    - 6.37  - 2013 - 2 episode(s)       - 25 min. per ep.       - Hentai                                                                       - https://myanimelist.net/anime/17747
Fushigi Yuugi OVA 2                                                              - 7.36  - 1997 - 6 episode(s)       - 33 min. per ep.       - Adventure, Fantasy, Martial Arts, Romance, Historical, Drama, Shoujo         - https://myanimelist.net/anime/381
Futago no Haha Seihonnou                                                         - 6.35  - 2005 - 2 episode(s)       - 30 min. per ep.       - Hentai                                                                       - https://myanimelist.net/anime/3062
Futari no Joe                                                                    - 6.14  - 2003 - 6 episode(s)       - 30 min. per ep.       - Shounen, Sports                                                              - https://myanimelist.net/anime/4298
GJ-bu@                                                                           - 7.31  - 2014 - 1 episode(s)       - 46 min.               - Comedy, School, Slice of Life                                                - https://myanimelist.net/anime/21635
