Title                                                                                                        - Score - Year - Num Eps       - Duration           - Genre(s)                                                                                    - Link

** Kouhai                                                                                                    - 7.26  - 2020 - 8 episodes    - 16 min per ep      - Fantasy, Harem, Hentai, Mythology                                                           - https://myanimelist.net/anime/40658
At Atelier                                                                                                   - 6.06  - 2022 - 1 episode     - 3 min              - Music                                                                                       - https://myanimelist.net/anime/51516
Atama Yama                                                                                                   - 6.38  - 2002 - 1 episode     - 10 min             - Avant Garde, Award Winning, Comedy, Fantasy, Psychological, Suspense                        - https://myanimelist.net/anime/1370
Atasha Kawashiri Kodama da yo: Dangerous Lifehacker no Tadareta Seikatsu                                     - 5.71  - 2022 - 24 episodes   - 2 min per ep       - Comedy                                                                                      - https://myanimelist.net/anime/49780
Ayakashi Triangle                                                                                            - 6.26  - 2023 - 12 episodes   - 23 min per ep      - Action, Comedy, Ecchi, Magical Sex Shift, Mythology, Romance, Shounen, Supernatural         - https://myanimelist.net/anime/50606
Ayakashi: Japanese Classic Horror                                                                            - 7.39  - 2006 - 11 episodes   - 23 min per ep      - Adult Cast, Fantasy, Historical, Horror, Mystery                                            - https://myanimelist.net/anime/586
Ayane-chan High Kick!                                                                                        - 5.86  - 1997 - 2 episodes    - 27 min per ep      - Combat Sports, Comedy, Shounen, Sports                                                      - https://myanimelist.net/anime/2183
Azur Lane: Bisoku Zenshin!                                                                                   - 7.02  - 2021 - 12 episodes   - 8 min per ep       - CGDCT, Comedy, Military, Sci-Fi, Slice of Life                                              - https://myanimelist.net/anime/40930
B-Legend! Battle B-Daman Fire Spirits!                                                                       - 6.39  - 2005 - 51 episodes   - 23 min per ep      - Adventure, Fantasy, Kids, Strategy Game                                                     - https://myanimelist.net/anime/4667
B-Legend! Battle B-Daman                                                                                     - 6.30  - 2004 - 52 episodes   - 22 min per ep      - Adventure, Fantasy, Kids, Strategy Game                                                     - https://myanimelist.net/anime/2789
B-Project: Zecchou*Emotion                                                                                   - 6.71  - 2019 - 12 episodes   - 24 min per ep      - Idols (Male), Music                                                                         - https://myanimelist.net/anime/36483
Ba Luo Bo                                                                                                    - None  - 1957 - 1 episode     - 10 min             - Comedy, Kids                                                                                - https://myanimelist.net/anime/48979
Babel Nisei                                                                                                  - 6.36  - 1973 - 39 episodes   - 25 min per ep      - Adventure, Sci-Fi, Shounen, Supernatural                                                    - https://myanimelist.net/anime/1666
Babirusa                                                                                                     - None  - 2021 - 1 episode     - 3 min              - Music                                                                                       - https://myanimelist.net/anime/55828
Baby Tayo Dong-yo                                                                                            - None  - 2022 - 10 episodes   - 1 min per ep       - Kids, Music                                                                                 - https://myanimelist.net/anime/53374
Baby-Hamitang                                                                                                - None  - 2022 - 6 episodes    - 3 min per ep       - Educational, Kids                                                                           - https://myanimelist.net/anime/50681
Back Arrow                                                                                                   - 6.33  - 2021 - 24 episodes   - 23 min per ep      - Action, Fantasy, Mecha                                                                      - https://myanimelist.net/anime/40964
Bad Badtz-Maru no Ore no Pochi wa Sekaiichi                                                                  - 5.81  - 1996 - 1 episode     - 13 min             - Kids                                                                                        - https://myanimelist.net/anime/17479
Baempaieosonyeo Dalja                                                                                        - None  - 2022 - 26 episodes   - 12 min per ep      - Comedy, Vampire                                                                             - https://myanimelist.net/anime/55048
Bai Bian Ji Shou: Luo Luo Lixian Ji                                                                          - None  - 2008 - 52 episodes   - 25 min per ep      - Kids, Mecha, Sci-Fi                                                                         - https://myanimelist.net/anime/44287
Bai Bian Ke Xiao Bi                                                                                          - None  - 2019 - 52 episodes   - 13 min per ep      - Kids                                                                                        - https://myanimelist.net/anime/47900
Bai She: Yuan Qi                                                                                             - 7.41  - 2019 - 1 episode     - 1 hr 38 min        - Action, Adventure, Drama, Fantasy, Martial Arts, Mythology, Romance                         - https://myanimelist.net/anime/38740
Baka to Test to Shoukanjuu                                                                                   - 7.52  - 2010 - 13 episodes   - 24 min per ep      - Comedy, Love Polygon, Romance, School                                                       - https://myanimelist.net/anime/6347
Bakukyuu Hit! Crash B-Daman                                                                                  - 6.11  - 2006 - 50 episodes   - 23 min per ep      - Adventure, Kids, Strategy Game                                                              - https://myanimelist.net/anime/4563
Bakukyuu Renpatsu!! Super B-Daman                                                                            - 6.49  - 1999 - 18 episodes   - 40 min per ep      - Adventure, Kids, Strategy Game                                                              - https://myanimelist.net/anime/2702
Bakumatsu Gijinden Roman                                                                                     - 6.13  - 2013 - 12 episodes   - 23 min per ep      - Fantasy, Historical                                                                         - https://myanimelist.net/anime/16211
Bakuon Otoko: Bommerman                                                                                      - None  - 2011 - 1 episode     - 5 min              - Action, Music                                                                               - https://myanimelist.net/anime/53315
Bakusou Circuit Roman Twin                                                                                   - None  - 1989 - 1 episode     - 1 hr 28 min        - Racing                                                                                      - https://myanimelist.net/anime/13553
Bakusou Kyoudai Let's & Go MAX                                                                               - 6.74  - 1998 - 51 episodes   - 25 min per ep      - Action, Kids, Racing                                                                        - https://myanimelist.net/anime/2709
Bakusou Kyoudai Let's & Go WGP                                                                               - 7.14  - 1997 - 51 episodes   - 25 min per ep      - Kids, Racing                                                                                - https://myanimelist.net/anime/2706
Bakusou Kyoudai Let's & Go                                                                                   - 6.91  - 1996 - 51 episodes   - 25 min per ep      - Adventure, Kids, Racing                                                                     - https://myanimelist.net/anime/2705
Bakuten Shoot Beyblade 2002                                                                                  - 6.71  - 2002 - 51 episodes   - 21 min per ep      - Action, Adventure, Comedy, Sci-Fi, Shounen, Sports                                          - https://myanimelist.net/anime/1669
Bakuten Shoot Beyblade G Revolution                                                                          - 6.95  - 2003 - 52 episodes   - 20 min per ep      - Action, Adventure, Comedy, Sci-Fi, Shounen, Sports                                          - https://myanimelist.net/anime/1668
Bakuten Shoot Beyblade                                                                                       - 6.76  - 2001 - 51 episodes   - 23 min per ep      - Action, Adventure, Comedy, Kids, Sports                                                     - https://myanimelist.net/anime/288
